"P" "V" "n" "T"
"s1345" 2.52 17 7.06 74.2
"s1346" 0.275 7.89 39.1 0.677
"s1347" 3.3 11.4 30.1 15.2
"s1348" 2.74 12.6 34.7 12.1
"s1349" 3.69 10.7 10.1 47.7
"s1350" 3.75 17.5 38.4 20.9
"s1351" 4.11 7.96 71.5 5.57
"s1352" 0.603 16 29.5 3.98
"s1353" 3.62 16.7 23.5 31.3
"s1354" 2.89 1.72 61.6 0.979
"s1355" 0.539 1.36 73.2 0.122
"s1356" 3.83 18.9 59.2 14.9
"s1357" 0.592 13.9 14.9 6.77
"s1358" 4.86 3.42 59.7 3.4
"s1359" 0.609 16.6 7.59 16.2
"s1360" 0.209 14.7 15.7 2.39
"s1361" 0.73 6.17 52.6 1.04
"s1362" 2.65 16.5 69.8 7.67
"s1363" 3.33 19.7 7.57 106
"s1364" 1.1 17 1.25 182
"s1365" 3.19 8.22 59.7 5.35
"s1366" 4.42 16.7 4.79 188
"s1367" 2.99 13.7 6.27 79.5
"s1368" 2.76 3.15 65.7 1.61
"s1369" 4.3 13.1 20.9 33.1
"s1370" 4.17 2.06 12.2 8.57
"s1371" 4.69 13 71.3 10.4
"s1372" 1.81 2.6 6.45 8.9
"s1373" 2.16 8.74 16.8 13.7
"s1374" 0.288 16.1 14 4.04
"s1375" 1.31 2.8 64.1 0.697
"s1376" 3.57 2.74 9.87 12.1
"s1377" 2.35 18.4 43.1 12.2
"s1378" 4.87 10.7 51.6 12.3
"s1379" 0.484 18 66.5 1.6
"s1380" 3.32 14.1 12.1 46.9
"s1381" 3.99 14 22.5 30.3
"s1382" 1.84 10.4 60.4 3.85
"s1383" 2.06 4.78 70.1 1.71
"s1384" 2.23 16 46.8 9.28
"s1385" 1.3 6.3 49.3 2.02
"s1386" 3.05 10.3 11.2 34.2
"s1387" 3.55 3.57 19.9 7.76
"s1388" 0.404 4.8 28.4 0.831
"s1389" 3.86 1.18 30.3 1.83
"s1390" 3.35 12 45.2 10.8
"s1391" 1.48 8.76 25.4 6.21
"s1392" 3.83 16.7 17.6 44.2
"s1393" 1.07 10.9 14.5 9.79
"s1394" 1.26 12.7 4.88 39.8
"s1395" 4 13.5 45.9 14.3
"s1396" 4.41 5.99 38.2 8.43
"s1397" 2.4 1.56 67 0.681
"s1398" 0.927 2.35 37.9 0.7
"s1399" 4.24 14.2 63.1 11.7
"s1400" 1.85 9.31 27.5 7.62
"s1401" 2.3 6.93 53.5 3.63
"s1402" 0.157 7.39 39.7 0.355
"s1403" 1.41 18.6 63.7 5.02
"s1404" 3.76 7.24 22.9 14.5
"s1405" 4.38 17.8 12.6 75
"s1406" 0.357 7.95 57 0.606
"s1407" 2.62 12.3 71.1 5.5
"s1408" 1.05 19.1 42.5 5.76
"s1409" 3.57 8.9 49.3 7.85
"s1410" 1.13 20 4.38 62.7
"s1411" 3.31 7.8 33.2 9.48
"s1412" 2.66 19.6 72 8.81
"s1413" 1.42 2.98 18.6 2.76
"s1414" 0.507 17.2 0.729 146
"s1415" 4.4 15.3 50.6 16.2
"s1416" 0.987 18.8 4.36 51.9
"s1417" 4.88 9.4 48.8 11.4
"s1418" 4.66 18.8 74.7 14.3
"s1419" 1.24 19.2 44.7 6.51
"s1420" 2.09 6.74 71.9 2.39
"s1421" 1.99 2.07 53.5 0.938
"s1422" 2.43 9.82 57.7 5.04
"s1423" 1.5 19.7 12 30.1
"s1424" 0.204 3.74 63.8 0.146
"s1425" 3.04 9.57 48.9 7.26
"s1426" 3.14 14 11.8 45.4
"s1427" 2.29 8.13 41.9 5.41
"s1428" 2.76 5.22 28 6.28
"s1429" 1.73 12.3 16.3 15.9
"s1430" 0.696 10.5 36.4 2.45
"s1431" 2.39 4.79 30.6 4.56
"s1432" 1.41 6.69 4.58 25.1
"s1433" 0.201 17 56.5 0.74
"s1434" 1.71 6.3 17.3 7.58
"s1435" 1.48 5.71 54.5 1.89
"s1436" 4.45 10.5 34.2 16.7
"s1437" 3.47 1.03 48.4 0.895
"s1438" 3.23 10.4 18.3 22.4
"s1439" 0.254 7.24 63.2 0.354
"s1440" 3.47 18.1 17.3 44.2
"s1441" 2.18 1.05 71.5 0.391
"s1442" 2.23 6.39 10.7 16.3
"s1443" 3.99 18.7 41.8 21.8
"s1444" 4.85 1.77 44.6 2.34
"s1445" 3.34 3.62 63.6 2.31
"s1446" 4.5 6.35 19.2 18.1
"s1447" 1.61 6.73 69.8 1.89
"s1448" 0.751 14.6 30.2 4.42
"s1449" 4.24 14.8 15.7 48.7
"s1450" 3.27 15 26.1 22.9
"s1451" 0.434 10.8 51.7 1.11
"s1452" 2.96 19.1 16.6 41.6
"s1453" 4.32 19.6 70.3 14.7
"s1454" 4.06 4.87 72.1 3.34
"s1455" 1.16 5.67 24.1 3.32
"s1456" 0.408 13.1 60.4 1.08
"s1457" 4.41 5.88 16 19.7
"s1458" 1.66 6.14 51 2.44
"s1459" 1.81 19.1 39.4 10.6
"s1460" 2.59 6.75 38 5.6
"s1461" 3.03 12 59.2 7.49
"s1462" 1.88 15.4 20.4 17.3
"s1463" 3.33 15.7 18.1 35.2
"s1464" 0.61 12.5 66.4 1.4
"s1465" 4.79 8.19 21.4 22.3
"s1466" 3.24 8.24 52 6.25
"s1467" 3.49 4.62 53.6 3.66
"s1468" 2.78 7.03 41.1 5.78
"s1469" 3.95 3.88 8.86 21.1
"s1470" 2.42 15.7 66.3 7.02
"s1471" 3.26 9.45 49.6 7.57
"s1472" 1.33 14.4 44.8 5.21
"s1473" 1.28 18.7 11.1 26.3
"s1474" 0.291 7.94 58.8 0.479
"s1475" 0.334 14.9 2.45 24.8
"s1476" 0.391 13.5 17.3 3.72
"s1477" 3.73 5.46 63.4 3.91
"s1478" 1.37 3.23 57.4 0.941
"s1479" 4.17 5.16 50.9 5.14
"s1480" 0.65 2.08 60.6 0.272
"s1481" 4.41 7.86 34.6 12.2
"s1482" 4.39 10.6 30.3 18.7
"s1483" 3.84 16 14 53.6
"s1484" 0.523 10.3 72.5 0.906
"s1485" 0.602 18.3 12.9 10.4
"s1486" 4.89 2.11 66.4 1.89
"s1487" 1.1 1.19 45.5 0.35
"s1488" 1.28 10.7 28.3 5.86
"s1489" 2.53 10.5 34.8 9.31
"s1490" 1.32 10.4 61.9 2.71
"s1491" 4.76 8.41 30.3 16.1
"s1492" 3.34 8.78 49.1 7.26
"s1493" 0.953 11.4 3.89 34
"s1494" 0.206 3.6 28.7 0.315
"s1495" 3.19 16.8 29.1 22.5
"s1496" 2.89 4.23 69.9 2.13
"s1497" 1.22 6.72 38 2.63
"s1498" 0.434 4.77 2.82 8.95
"s1499" 0.705 10.1 37.8 2.28
"s1500" 3.57 5.48 63.6 3.75
"s1501" 4.98 7.67 29.8 15.6
"s1502" 1.13 15.5 47 4.51
"s1503" 0.8 17.6 12.8 13.4
"s1504" 4.6 3.52 26 7.58
"s1505" 0.226 9.34 49.3 0.521
"s1506" 3.29 6.71 36.4 7.4
"s1507" 4.21 16.7 44.5 19.3
"s1508" 4.87 3.14 63 2.95
"s1509" 4.63 2.57 37.1 3.91
"s1510" 4.76 7.99 65 7.14
"s1511" 1.83 20 69.7 6.38
"s1512" 1.76 7.74 26.5 6.25
"s1513" 3.02 17.3 42.6 14.9
"s1514" 0.332 12.8 29.1 1.78
"s1515" 1.07 13.4 33.2 5.29
"s1516" 1.98 6.72 6.01 26.9
"s1517" 1.49 16.1 15 19.4
"s1518" 0.543 1.33 52.1 0.169
"s1519" 1.44 7.42 32.5 4.02
"s1520" 3.86 2.71 26.5 4.81
"s1521" 3.03 6.7 58.1 4.27
"s1522" 0.642 2.09 68.8 0.238
"s1523" 1.48 11.4 20.6 9.94
"s1524" 3.83 13.4 4.89 128
"s1525" 4.78 6.68 68.1 5.72
"s1526" 2.94 19.4 2.59 269
"s1527" 0.545 3.64 11.5 2.11
"s1528" 1.77 15.7 0.387 874
"s1529" 3.95 14.3 1.01 676
"s1530" 4.35 3.49 60.5 3.06
"s1531" 0.746 11.4 49.4 2.09
"s1532" 2.64 4.39 27.4 5.15
"s1533" 3.26 15.8 65.5 9.6
"s1534" 4.73 10.9 15.7 39.8
"s1535" 1.33 5.06 54 1.51
"s1536" 2.67 4.9 43.1 3.7
"s1537" 0.548 6.24 22.6 1.85
"s1538" 2.49 8.86 53.7 5.01
"s1539" 1.24 11.5 74.4 2.33
"s1540" 2.24 10.2 26.2 10.6
"s1541" 2.75 14.1 74.4 6.37
"s1542" 3.97 16.6 50.6 15.9
"s1543" 1.77 7.72 55.2 3.01
"s1544" 3.53 1.22 21.6 2.44
"s1545" 0.875 4.05 68.4 0.632
"s1546" 1.48 6.14 37.6 2.95
"s1547" 2.04 4.03 19.4 5.15
"s1548" 2.09 12.2 49 6.34
"s1549" 2.85 9.88 20.5 16.8
"s1550" 3.61 17.6 56 13.8
"s1551" 0.602 18.1 73.8 1.8
"s1552" 4.57 1.74 2.83 34.3
"s1553" 4.69 13.1 29 25.7
"s1554" 2.1 17.1 5.35 81.5
"s1555" 1.16 11.7 62.3 2.65
"s1556" 3.49 19 69.7 11.6
"s1557" 0.608 8.71 12.3 5.23
"s1558" 3.16 7.88 63.8 4.75
"s1559" 1.96 11.6 52.8 5.25
"s1560" 0.308 14.8 38.4 1.45
"s1561" 0.702 3.6 66 0.467
"s1562" 1.26 6.81 55.6 1.88
"s1563" 4.39 17.4 28.6 32.5
"s1564" 2.21 12.7 51.9 6.6
"s1565" 0.397 5.32 14.4 1.78
"s1566" 4.23 14.4 60.7 12.2
"s1567" 3.78 9.79 72.2 6.25
"s1568" 2.82 8.77 26.2 11.5
"s1569" 4.49 18.9 46.6 22.1
"s1570" 2.43 7.22 68.9 3.1
"s1571" 0.914 12.9 33.8 4.25
"s1572" 0.772 16.4 2.23 69.1
"s1573" 1.9 11.5 9.46 28.2
"s1574" 1.52 13.5 74.8 3.35
"s1575" 0.186 18.4 70 0.597
"s1576" 3.51 12.9 71.4 7.75
"s1577" 3.36 13.9 6.63 86.1
"s1578" 3.86 19.7 1.36 682
"s1579" 3.93 18.1 12 72.1
"s1580" 2.64 16.7 31.8 16.9
"s1581" 3.78 10.7 73.6 6.69
"s1582" 3.62 13.1 20.3 28.4
"s1583" 0.592 9.57 16.4 4.22
"s1584" 4.47 14.3 25.1 31
"s1585" 0.132 2.97 20.5 0.232
"s1586" 2.39 18.5 6.9 78.1
"s1587" 3.57 7.74 14.8 22.8
"s1588" 3.19 17.8 62.3 11.1
"s1589" 3.45 7.11 45.2 6.61
"s1590" 4.92 2.04 26.6 4.59
"s1591" 1.36 3.26 63.8 0.848
"s1592" 1.25 5.56 54.5 1.55
"s1593" 1.58 14.8 29.7 9.61
"s1594" 1.75 10.9 39.1 5.98
"s1595" 3.82 3.02 30.4 4.62
"s1596" 4.42 17.7 13.2 72
"s1597" 0.702 4.06 56.9 0.611
"s1598" 1.52 8.42 70.2 2.23
"s1599" 1.58 3.62 42.6 1.64
"s1600" 0.994 19.6 22.2 10.7
"s1601" 3.49 9.13 38.8 10
"s1602" 3.33 2.42 15.4 6.37
"s1603" 3.15 8.96 59.7 5.75
"s1604" 1.96 3.67 53.7 1.63
"s1605" 4.79 5.48 28.6 11.2
"s1606" 4.89 1.25 53.4 1.39
"s1607" 1.83 11.3 38.3 6.58
"s1608" 2.09 9.35 14.4 16.6
"s1609" 4.5 16.2 46.1 19.3
"s1610" 1.96 18.6 17.9 24.9
"s1611" 3.08 6.5 21.5 11.4
"s1612" 1.99 17.4 11.6 36.6
"s1613" 2.71 9.32 28.4 10.8
"s1614" 2.16 14.5 30.8 12.4
"s1615" 3.66 13.1 43.3 13.5
"s1616" 3.8 2.53 27.9 4.19
"s1617" 3.25 13 30.5 16.9
"s1618" 4.82 8.74 31.6 16.2
"s1619" 1.14 9.34 38 3.4
"s1620" 0.948 10 37.8 3.07
"s1621" 4.12 11.2 2.58 218
"s1622" 2.43 18.1 67.4 7.95
"s1623" 2.4 17.7 46.2 11.2
"s1624" 0.91 3.69 40.6 1.01
"s1625" 2.97 19.3 28.1 24.9
"s1626" 2.8 13.8 8.13 58
"s1627" 4.46 5.46 17.1 17.3
"s1628" 1.41 8.4 69 2.09
"s1629" 3.99 18.1 21 41.8
"s1630" 4.56 19.3 37 29
"s1631" 1.5 9.24 71.3 2.38
"s1632" 3.68 8.94 59.4 6.76
"s1633" 0.558 7.92 56.5 0.953
"s1634" 3.97 17.6 59 14.5
"s1635" 2.88 13.6 5.27 90.4
"s1636" 4.94 7.55 28.8 15.8
"s1637" 4.04 8.49 37.6 11.1
"s1638" 0.675 16.6 21.9 6.22
"s1639" 2.48 10.4 62.4 5.05
"s1640" 1.2 13.7 32.7 6.16
"s1641" 1.43 8.68 16 9.44
"s1642" 0.186 4.02 57 0.16
"s1643" 2.63 17.8 71.7 7.97
"s1644" 4.26 17.5 44.1 20.6
"s1645" 0.751 12.2 30.3 3.69
"s1646" 0.551 14.4 45 2.15
"s1647" 1.46 15.4 20.9 13.1
"s1648" 1.73 19.5 65.5 6.29
"s1649" 2.11 17.2 54 8.17
"s1650" 4.46 5.83 24.5 12.9
"s1651" 2.45 8.19 39.7 6.15
"s1652" 0.895 1.54 1.19 14
"s1653" 2.94 1.29 17.7 2.61
"s1654" 1.8 9.11 35.7 5.6
"s1655" 2.17 11.5 25.3 12.1
"s1656" 1.95 2.16 47.2 1.09
"s1657" 1.05 2.16 24.8 1.12
"s1658" 2.16 11.9 14.5 21.6
"s1659" 2.12 14.5 52.3 7.16
"s1660" 1.89 3.23 14.7 5.07
"s1661" 3.05 16.8 36.1 17.3
"s1662" 4.04 12.2 44.7 13.5
"s1663" 1.88 9.19 35.5 5.91
"s1664" 1.16 2.15 4.07 7.48
"s1665" 2.62 1.75 21.2 2.64
"s1666" 0.432 14.8 62.1 1.25
"s1667" 0.165 10.6 40.4 0.524
"s1668" 4.92 19.3 12.4 93.5
"s1669" 1.07 3.35 25.6 1.71
"s1670" 1.21 14.6 61.5 3.49
"s1671" 3.79 1.65 55.3 1.38
"s1672" 0.2 5.64 47.7 0.288
"s1673" 3.46 4.6 21.9 8.86
"s1674" 2.7 10.8 45.5 7.8
"s1675" 3.74 19.5 39.3 22.6
"s1676" 2.89 7.1 39.9 6.27
"s1677" 0.609 16.9 2.98 42.1
"s1678" 2.72 3.33 59.4 1.86
"s1679" 3.9 13.6 37.3 17.4
"s1680" 3.43 8.8 6.26 58.7
"s1681" 3.69 15.5 67.3 10.4
"s1682" 3.94 13.7 4.81 137
"s1683" 0.493 15 27.8 3.25
"s1684" 4.37 11 37.4 15.7
"s1685" 3.89 13.5 42 15.2
"s1686" 3.64 2.32 18.5 5.56
"s1687" 4.28 8.19 3.12 137
"s1688" 3.32 11.6 31.1 15.1
"s1689" 0.132 12.9 15.1 1.38
"s1690" 4.88 8.02 68.1 7.01
"s1691" 3.57 8.77 55.5 6.87
"s1692" 3.23 9.63 49.5 7.66
"s1693" 1.94 7.16 57.8 2.94
"s1694" 2.78 4.29 31.8 4.57
"s1695" 0.16 16.4 68.8 0.464
"s1696" 0.729 11.7 69 1.51
"s1697" 3.88 8.83 29.6 14.1
"s1698" 1.63 15.7 13.8 22.7
"s1699" 0.578 2.22 51.3 0.304
"s1700" 1.69 11.3 6.96 33.6
"s1701" 3.99 9.9 43.6 11
"s1702" 1.8 12.8 16.5 17
"s1703" 2.94 12.3 14.8 29.8
"s1704" 4.44 7.58 53.8 7.61
"s1705" 1.18 6.17 65.4 1.36
"s1706" 2.21 12.8 37.8 9.07
"s1707" 1.15 1.4 19.8 0.988
"s1708" 0.94 8.49 64.3 1.51
"s1709" 1.1 7.62 3.75 27.2
"s1710" 0.301 15.6 38.6 1.48
"s1711" 3.18 12.2 29.4 16
"s1712" 3.8 9.15 71.5 5.93
"s1713" 0.105 6.37 70.2 0.116
"s1714" 3.2 7.94 2.18 142
"s1715" 0.738 4.84 39.7 1.09
"s1716" 4.42 12.1 12.7 51.1
"s1717" 0.255 10.4 20.9 1.54
"s1718" 1.31 4.66 71.3 1.04
"s1719" 2.6 4.29 38.1 3.56
"s1720" 4.58 18.6 47 22.2
"s1721" 4.4 12.3 1.69 389
"s1722" 0.473 16 27.9 3.3
"s1723" 3.86 8.7 39.9 10.3
"s1724" 3.22 3.81 43.2 3.46
"s1725" 3.27 14.8 22.8 25.9
"s1726" 4.43 1.62 29.1 3.01
"s1727" 4.87 13.2 50.7 15.5
"s1728" 1.79 9.4 38.8 5.3
"s1729" 0.793 2.87 66 0.42
"s1730" 4.85 10.6 10.3 61.3
"s1731" 1.85 2.11 13.7 3.46
"s1732" 1.08 13.1 54.6 3.15
"s1733" 1.77 3.41 57.4 1.28
"s1734" 2.71 16.7 49.3 11.2
"s1735" 4.59 4.59 69.2 3.71
"s1736" 1.07 1.13 61 0.242
"s1737" 3.01 6.37 44.5 5.25
"s1738" 0.308 18.4 26.7 2.58
"s1739" 4.51 5.37 73.7 4
"s1740" 4.85 14 4.45 186
"s1741" 3.87 3.33 27.4 5.74
"s1742" 0.374 2.95 61.6 0.219
"s1743" 4.3 4.42 1.53 152
"s1744" 3.48 18.7 48.8 16.2
"s1745" 4.34 13.5 23.1 30.9
"s1746" 2.6 4.55 26.3 5.49
"s1747" 2.23 2.78 26.9 2.8
"s1748" 1.9 6.68 17.9 8.65
"s1749" 2.58 11.1 72.7 4.82
"s1750" 4.66 1.9 72.9 1.48
"s1751" 2.56 4.9 15.4 9.97
"s1752" 2.74 7.12 43.2 5.5
"s1753" 2.98 5.9 72.1 2.97
"s1754" 3.79 10.2 27.2 17.3
"s1755" 1.42 17.8 13 23.7
"s1756" 3.75 18 11 74.9
"s1757" 0.943 7.64 8.19 10.7
"s1758" 1.44 16.7 34.6 8.5
"s1759" 2.19 9.97 10.4 25.6
"s1760" 4.63 17.6 38 26.1
"s1761" 4.26 7.12 8.09 45.7
"s1762" 2.08 4.13 27.8 3.77
"s1763" 0.755 13.1 18.5 6.52
"s1764" 3.61 4.62 0.638 318
"s1765" 2.99 11.3 57.6 7.16
"s1766" 0.125 12.3 60.3 0.308
"s1767" 0.296 17.3 30.5 2.04
"s1768" 2.04 10.8 32 8.37
"s1769" 1.32 7.26 24.5 4.77
"s1770" 4.18 1.86 16.7 5.66
"s1771" 2.86 6.44 37.1 6.04
"s1772" 4.03 9.16 33.1 13.6
"s1773" 1.59 7.09 3.07 44.7
"s1774" 4.96 9.42 6.98 81.5
"s1775" 4.63 6.2 24.6 14.2
"s1776" 2.92 13.6 49 9.86
"s1777" 0.926 15.4 55.5 3.14
"s1778" 3.1 7.62 58.6 4.91
"s1779" 1.13 5.08 47.8 1.46
"s1780" 0.856 9.89 41.2 2.5
"s1781" 4.54 2.84 49.6 3.17
"s1782" 1.97 5.86 38.2 3.69
"s1783" 1.33 3.23 2.25 23.2
"s1784" 1.01 13 55.8 2.85
"s1785" 1.66 16.1 64 5.11
"s1786" 3.33 5.91 31.7 7.57
"s1787" 4.04 6.13 27.6 11
"s1788" 2.51 2.17 47.2 1.41
"s1789" 0.401 4.19 31.7 0.645
"s1790" 2.35 14.4 17.1 24.1
"s1791" 3.94 11.7 42.8 13.1
"s1792" 0.763 15.6 68.7 2.11
"s1793" 3.07 7.7 69.5 4.15
"s1794" 4.57 10.8 23 26.2
"s1795" 1.91 2.3 19 2.81
"s1796" 1.53 12.9 47.5 5.04
"s1797" 0.595 6.78 58.5 0.842
"s1798" 2.31 17 61.7 7.75
"s1799" 3.26 18 47.4 15.1
"s1800" 3.5 15.6 66.1 10.1
"s1801" 3.88 9.45 49.4 9.05
"s1802" 1.83 12.1 11.2 24
"s1803" 4.58 4.13 71.3 3.23
"s1804" 1.95 16.2 42.5 9.07
"s1805" 3.9 19.2 13.3 68.9
"s1806" 4.04 2.44 51.7 2.32
"s1807" 0.684 5.16 34.2 1.26
"s1808" 4.47 15.8 8.77 98.1
"s1809" 4.47 5.61 70.2 4.36
"s1810" 3.82 9.7 23.9 18.9
"s1811" 3.77 6.22 7.88 36.3
"s1812" 3.71 18.4 11.4 73.1
"s1813" 1.53 15.5 57 5.1
"s1814" 3.93 17.1 7.52 109
"s1815" 4.85 1.37 17.4 4.68
"s1816" 0.218 8.99 57.6 0.415
"s1817" 3.96 19.2 16.8 55.4
"s1818" 2.22 11.3 47.4 6.46
"s1819" 1.98 16.2 13.5 29
"s1820" 4.36 13.4 13.3 53.6
"s1821" 2.11 13.3 5.53 62
"s1822" 4.24 9.2 61.4 7.74
"s1823" 3.79 1.52 67.1 1.04
"s1824" 0.852 11.5 71.1 1.67
"s1825" 4.59 11.3 65 9.75
"s1826" 3.58 18 47.5 16.5
"s1827" 1.85 7.9 26.9 6.6
"s1828" 4.5 18.4 42.8 23.5
"s1829" 4.02 13.5 23.8 27.7
"s1830" 3.1 13.9 63.7 8.24
"s1831" 1.69 3.48 14 5.12
"s1832" 2.78 9.95 7.1 47.5
"s1833" 2.98 4.49 33.3 4.9
"s1834" 0.76 6.19 36 1.59
"s1835" 0.129 6.61 7.66 1.36
"s1836" 4.72 2.99 45.1 3.81
"s1837" 3.81 8.63 22.5 17.8
"s1838" 0.896 14.2 35.3 4.38
"s1839" 4.18 10.4 43.7 12.1
"s1840" 4.15 9.3 52.8 8.9
"s1841" 3.15 18.2 72.3 9.69
"s1842" 2.22 15 8.9 45.4
"s1843" 0.195 4.77 46.7 0.243
"s1844" 0.197 19.8 72.1 0.66
"s1845" 3.04 7.1 38.1 6.91
"s1846" 4.47 8.65 4.33 109
"s1847" 0.731 11.5 19 5.39
"s1848" 2.07 7.24 48.1 3.78
"s1849" 1.27 12.2 63.7 2.97
"s1850" 2.7 18.6 11.1 54.9
"s1851" 4 19.9 22.2 43.6
"s1852" 1.24 7.47 27.6 4.09
"s1853" 2.56 4.31 47.2 2.85
"s1854" 2.08 16.3 61.9 6.66
"s1855" 4.93 4.34 50 5.21
"s1856" 2.09 4.47 21.7 5.24
"s1857" 2.12 11.7 46.2 6.54
"s1858" 2.46 18.8 19.6 28.6
"s1859" 2.02 5.33 19.2 6.85
"s1860" 0.581 7.02 30.5 1.63
"s1861" 1.24 15 25.6 8.82
"s1862" 4.33 3.08 34.7 4.68
"s1863" 3.79 1.9 3.39 25.9
"s1864" 3.63 3.94 73.8 2.36
"s1865" 2.81 12.3 49.6 8.46
"s1866" 0.492 13.4 0.873 92.1
"s1867" 2.46 19.6 57.4 10.2
"s1868" 1.87 8.82 54.2 3.71
"s1869" 1.01 20 60.2 4.07
"s1870" 1.72 3.26 50.9 1.34
"s1871" 0.35 6.14 71.2 0.368
"s1872" 4.26 6.42 74.1 4.5
"s1873" 3.16 15.3 65.5 8.99
"s1874" 1.45 19.1 50.4 6.72
"s1875" 0.676 7.99 40.4 1.63
"s1876" 4.04 17.7 37.5 23.3
"s1877" 1.59 7.24 51.8 2.71
"s1878" 4.77 1.18 36.3 1.9
"s1879" 3.48 3.61 51.1 3
"s1880" 2.98 18.3 13.5 49.1
"s1881" 0.999 16.7 54.6 3.74
"s1882" 1.64 19.9 69.9 5.67
"s1883" 0.897 17.8 51.1 3.81
"s1884" 0.799 16.8 55.3 2.96
"s1885" 0.199 9.78 34.4 0.69
"s1886" 3.87 17.2 34.7 23.3
"s1887" 1.94 12.4 54.9 5.35
"s1888" 0.972 18.7 9.33 23.7
"s1889" 4.33 1.62 22 3.89
"s1890" 1.39 10.1 66.3 2.59
"s1891" 3.27 1.56 69.7 0.89
"s1892" 0.773 6.15 52.3 1.11
"s1893" 4.26 19.3 74.5 13.4
"s1894" 4.24 15.3 45.4 17.4
"s1895" 2.13 11.9 43.2 7.13
"s1896" 4.12 14.7 67.5 10.9
"s1897" 2.9 14.4 68.7 7.43
"s1898" 3.85 8.68 68 5.98
"s1899" 1.52 2.8 39.4 1.31
"s1900" 3.44 5.37 6.6 34
"s1901" 1.48 18 6.15 52.9
"s1902" 1.33 8.57 71.6 1.95
"s1903" 2.03 13.7 31.8 10.6
"s1904" 4.08 7.14 47.1 7.55
"s1905" 2.8 3.29 15.8 7.07
"s1906" 0.562 15.5 26.8 3.95
"s1907" 2.93 8.78 6.61 47.4
"s1908" 2.09 11.2 5.13 55.5
"s1909" 0.915 7.32 6.73 12.1
"s1910" 0.488 4.55 68.2 0.397
"s1911" 0.44 16 73.4 1.17
"s1912" 1.94 4.02 63.6 1.5
"s1913" 4.78 5.65 33 9.97
"s1914" 2.89 2.48 27.6 3.16
"s1915" 0.145 7.4 45 0.291
"s1916" 3.38 2.68 38.2 2.89
"s1917" 4.69 1.54 64.2 1.37
"s1918" 0.565 1.91 53 0.248
"s1919" 3.54 17 30.3 24.3
"s1920" 4.85 4.11 52.3 4.65
"s1921" 1.71 12.9 54.3 4.94
"s1922" 2.9 11.7 37.1 11.2
"s1923" 0.84 7.7 22.8 3.46
"s1924" 3.13 2.27 14.8 5.87
"s1925" 2.05 16.5 43.4 9.46
"s1926" 0.728 8.45 52.5 1.43
"s1927" 4.02 18.2 27.8 32
"s1928" 4.79 11.6 40.9 16.6
"s1929" 2.7 9.55 0.665 473
"s1930" 3.27 17.1 5.7 120
"s1931" 4.79 4.83 70.4 4
"s1932" 3.3 19.8 41.8 19
"s1933" 1.8 12 20.8 12.6
"s1934" 0.676 9.92 36.9 2.21
"s1935" 2.2 10.5 47.8 5.91
"s1936" 4.38 1.57 3.54 23.7
"s1937" 3.65 19.7 65 13.5
"s1938" 3.64 2.09 34.3 2.71
"s1939" 0.612 16.1 40 3
"s1940" 1.88 10.8 28.7 8.65
"s1941" 3.83 9.24 20.8 20.7
"s1942" 3.3 4.53 57.3 3.19
"s1943" 1.82 19.4 4.11 105
"s1944" 1.48 4.43 37.9 2.11
"s1945" 2.29 3.89 60.3 1.8
"s1946" 2.8 4.02 29.3 4.69
"s1947" 1.07 4.88 66.8 0.955
"s1948" 3.98 4.53 9.7 22.6
"s1949" 1.54 14 8.53 30.8
"s1950" 2.92 10.9 51.7 7.51
"s1951" 0.876 17.9 26.8 7.13
"s1952" 1.23 1.5 2.53 8.91
"s1953" 3.7 6.49 52.7 5.56
"s1954" 4.42 16.5 26.2 33.9
"s1955" 3.34 12.4 43.9 11.5
"s1956" 3.74 18.8 8.25 104
"s1957" 1.72 11.8 73.8 3.36
"s1958" 1.76 12.7 17.2 15.9
"s1959" 2.73 19.2 57.3 11.2
"s1960" 1.86 13.2 16.9 17.8
"s1961" 0.396 19.3 48 1.94
"s1962" 1.69 17.1 70.2 5.01
"s1963" 1.51 4.78 38.3 2.31
"s1964" 0.861 16.3 56 3.05
"s1965" 2.51 9.11 29.6 9.42
"s1966" 2.53 1.62 1.47 33.9
"s1967" 1.12 7.03 3.28 29.2
"s1968" 1.62 2.43 73.9 0.65
"s1969" 4.42 7.8 21.7 19.4
"s1970" 4.89 18.8 14.7 75.9
"s1971" 3.18 15.3 46 12.9
"s1972" 3.04 1.14 13.3 3.18
"s1973" 1.52 12.1 52.9 4.26
"s1974" 3.04 4.95 40.9 4.49
"s1975" 0.767 1.31 61.8 0.198
"s1976" 2.21 3.6 20.8 4.68
"s1977" 3.61 18.9 47.7 17.4
"s1978" 3.03 5.57 64.7 3.17
"s1979" 3.74 12.8 27.3 21.4
"s1980" 3.91 8.15 11.6 33.5
"s1981" 2.14 11.9 40.3 7.69
"s1982" 1.65 14.2 14.3 20
"s1983" 0.442 11.5 51.9 1.19
"s1984" 0.961 17 28.5 6.99
"s1985" 3.57 10.9 3.43 138
"s1986" 0.596 6.62 45.3 1.06
"s1987" 4.31 12.4 38.5 17
"s1988" 0.245 12.8 28.9 1.33
"s1989" 1.94 8.95 31.9 6.64
"s1990" 2.42 6.86 67.2 3.01
"s1991" 4.82 6.74 44 8.98
"s1992" 4.68 4.01 37 6.17
"s1993" 0.487 17.6 21.3 4.91
